Institution,City,Country,Website,Latitude,Longitude
University of Algiers - Architecture Dept.,Algiers,Algeria,https://www.univ-alger.dz,36.7538,3.0588
University of Annaba - Department of Architecture,Annaba,Algeria,https://www.univ-annaba.dz,36.9,7.7667
University of Constantine - Faculty of Architecture and Urbanism,Constantine,Algeria,https://www.umc.edu.dz,36.365,6.6147
Polytechnic School of Architecture and Urbanism Hocine Aït Ahmed (EPAU),El Harrach (Algiers),Algeria,http://www.epau-alger.edu.dz,36.7167,3.1333
University of Oran - Architecture & Urbanism,Oran,Algeria,https://www.univ-oran.dz,35.6971,-0.6308
Oran University of Science and Technology (USTO) - Architecture Department,Oran,Algeria,https://www.univ-usto.dz,35.6971,-0.6308
University of Sétif - Faculty of Architecture,Sétif,Algeria,https://www.univ-setif.dz,36.191,5.4131
University of Tlemcen - Faculty of Architecture,Tlemcen,Algeria,https://www.univ-tlemcen.dz,34.878,-1.3157
Universidade Agostinho Neto - Architecture/Urbanism,Luanda,Angola,https://www.unangola.org,-8.839,13.2894
Methodist University of Angola - Faculty of Architecture and Urbanism,Luanda,Angola,https://www.uma.ao,-8.839,13.2894
Instituto Superior Politécnico Atlântica - Architecture Programs,Luanda,Angola,https://www.ispa.ao,-8.839,13.2894
Universidade Mandume ya Ndemufayo (UMN) - Architecture & Urban Planning,Lubango,Angola,https://umn.ed.ao,-14.9175,13.4925
University of Botswana - Dept. of Architecture & Civil Engineering,Gaborone,Botswana,https://www.ub.bw,-24.6282,25.9231
Université de Ouagadougou - Architecture / Built Environment,Ouagadougou,Burkina Faso,https://www.univ-ouaga.bf,12.3714,-1.5197
University of Buea - Architecture/ Built Environment (Cameroon),Buea,Cameroon,https://www.ubuea.cm,4.1539,9.2457
University of Douala - Fine Arts / Architecture,Douala,Cameroon,https://www.univ-douala.com,4.0511,9.7679
University of Dschang - Fine Arts / Architecture,Dschang,Cameroon,https://www.univ-dschang.org,5.4469,10.0667
University of Yaoundé I - Institute / Faculty of Architecture,Yaoundé,Cameroon,https://www.univ-yaounde1.cm,3.848,11.5021
University of Bangui - Architecture / Built Environment (CAR),Bangui,Central African Republic,https://www.univ-rca.org,4.3947,18.5582
École du Patrimoine Africain (EPA) - Cultural Heritage & Built Environment,Porto-Novo,Benin,https://www.epa-prema.net,6.4969,2.6289
Centro Nacional de Arte Artesanato e Design (CNAD) - Design & Architecture Programs,Mindelo,Cabo Verde,https://www.cnad.cv,16.8894,-24.9811
University of N'Djamena - Architecture / Built Environment (Chad),N'Djamena,Chad,https://www.universite-ndjamena.td,12.1348,15.0557
Université de Kinshasa (UNIKIN) - Faculty of Architecture,Kinshasa,Democratic Republic of Congo,https://www.unikin.ac.cd,-4.4419,15.2663
Académie des Beaux-Arts (ABA) - Institut Supérieur d'Architecture et Urbanisme,Kinshasa,Democratic Republic of Congo,http://www.academiedesbeauxarts.cd,-4.325,15.3222
Université de Kisangani - Department of Architecture,Kisangani,Democratic Republic of Congo,https://www.unikis.ac.cd,0.5153,25.191
Université de Lubumbashi - Faculty of Architecture,Lubumbashi,Democratic Republic of Congo,https://www.unilu.ac.cd,-11.6879,27.5023
University of Djibouti - Architecture / Built Environment,Djibouti,Djibouti,https://www.univ.edu.dj,11.5721,43.1456
Alexandria University - Faculty of Fine Arts / Architecture,Alexandria,Egypt,https://www.alexu.edu.eg,31.2001,29.9187
Ain Shams University - Faculty of Engineering (Architecture),Cairo,Egypt,https://www.asu.edu.eg,30.0561,31.33
American University in Cairo - Department of Architecture & Construction,Cairo,Egypt,https://www.aucegypt.edu,30.02,31.499
German University in Cairo - Architecture Dept.,Cairo,Egypt,https://www.guc.edu.eg,30.1,31.255
University of Al-Azhar - Architecture-related (Cairo),Cairo,Egypt,https://www.azhar.edu.eg,30.0444,31.2357
Cairo University - Faculty of Engineering (Architecture),Cairo/Giza,Egypt,https://cu.edu.eg,30.0131,31.2089
Misr International University (MIU) - Faculty of Architecture,Cairo,Egypt,https://www.miuegypt.edu.eg,30.0083,31.4237
Future University in Egypt (FUE) - Faculty of Engineering (Architecture),New Cairo,Egypt,https://www.fue.edu.eg,30.0319,31.4822
October 6 University - Faculty of Engineering (Architecture),Giza,Egypt,https://www.o6u.edu.eg,29.9559,30.9237
Helwan University - Faculty of Fine Arts (Architecture),Cairo,Egypt,https://www.helwan.edu.eg,29.8497,31.3018
"Addis Ababa University - Ethiopian Institute of Architecture, Building Construction & City Development (EiABC)",Addis Ababa,Ethiopia,https://www.eiabc.edu.et,9.03,38.7469
Addis Ababa Science and Technology University - Department of Architecture & Civil Engineering,Addis Ababa,Ethiopia,https://www.aastu.edu.et,9.03,38.7469
Arba Minch University - Faculty of Architecture & Design,Arba Minch,Ethiopia,https://www.amu.edu.et,6.035,37.562
Bahir Dar University - Faculty of Architecture & Urban Planning,Bahir Dar,Ethiopia,https://www.bdu.edu.et,11.5933,37.3895
Haramaya University - Architecture / Built Environment (Ethiopia),Haramaya,Ethiopia,https://www.haramaya.edu.et,9.4012,42.0339
Hawassa University - Institute of Technology - Architecture Programs,Hawassa,Ethiopia,https://www.hu.edu.et,7.05,38.4833
Jimma University - Faculty of Technology - Architecture Programs,Jimma,Ethiopia,https://www.ju.edu.et,7.68,36.835
Mekelle University - College of Engineering & Technology - Architecture,Mekelle,Ethiopia,https://www.mu.edu.et,13.4967,39.4753
Université des Sciences et Techniques de Masuku (USTM) - Architectural Engineering,Franceville,Gabon,https://www.ustm.ga,-1.6333,13.5833
Université Omar Bongo (UOB) - School of Architecture & Urban Planning,Libreville,Gabon,http://www.uob-uog.ga,0.3901,9.4544
École Nationale Supérieure des Travaux Publics (ENSTP) - Civil Engineering & Construction,Libreville,Gabon,http://www.enstp.ga,0.3901,9.4544
Institut Supérieur de Technologie de Libreville (ISTL) - Building & Construction Management,Libreville,Gabon,http://www.istl.ga,0.3901,9.4544
Universidad Nacional de Guinea Ecuatorial (UNGE) - Engineering & Built Environment,Malabo,Equatorial Guinea,https://unge-ge.org,3.7504,8.7371
University of the Gambia - Built Environment programs,Banjul,Gambia,https://www.utg.edu.gm,13.4549,-16.579
University of Ghana - School of Architecture & Design,Accra,Ghana,https://www.ug.edu.gh,5.6037,-0.187
Amílcar Cabral University - Engineering & Built Environment,Bissau,Guinea-Bissau,https://www.uac.gw,11.8592,-15.5956
Central University - School of Architecture & Design,Accra,Ghana,https://www.central.edu.gh,5.6037,-0.187
University of Cape Coast - Architecture-related programs,Cape Coast,Ghana,https://www.ucc.edu.gh,5.1052,-1.2466
Kwame Nkrumah University of Science & Technology - Dept. of Architecture,Kumasi,Ghana,https://www.knust.edu.gh,6.6885,-1.6244
Université de Conakry - Architecture / Built Environment,Conakry,Guinea,https://www.univ-conakry.gn,9.6412,-13.5784
Université Félix Houphouët-Boigny - Architecture (Côte d'Ivoire),Abidjan,Ivory Coast,https://www.univ-fhb.edu.ci,5.3453,-4.0244
"Jomo Kenyatta University of Agriculture & Technology - School of Architecture, Building & Design",Juja/Nairobi,Kenya,https://www.jkuat.ac.ke,-1.1769,37.0121
University of Nairobi - Department of Architecture & Building Sciences,Nairobi,Kenya,https://www.uonbi.ac.ke,-1.2864,36.8172
Kenyatta University - Department of Architecture & Physical Planning,Nairobi,Kenya,https://www.ku.ac.ke,-1.2544,36.9076
Technical University of Kenya - Architecture related,Nairobi,Kenya,https://www.tukenya.ac.ke,-1.2833,36.8167
University of Liberia - Built Environment,Monrovia,Liberia,https://www.ul.edu.lr,6.3156,-10.8074
University of Tripoli - Architecture programs,Tripoli,Libya,https://www.uot.edu.ly,32.8872,13.1913
University of Antananarivo - Architecture programs,Antananarivo,Madagascar,https://www.univ-antananarivo.mg,-18.8792,47.5079
University of Malawi - Architecture / Built Environment,Zomba/Lilongwe,Malawi,https://www.unima.mw,-13.9626,33.7741
University of Bamako - Architecture related programs (Mali),Bamako,Mali,https://www.um.edu.ml,12.6392,-8.0029
Université de Nouakchott Al Aasriya - Engineering & Urban Planning,Nouakchott,Mauritania,https://www.univ-nkc.mr,18.0858,-15.9785
